"Nom de la Station","SALLUIT"
"Province","QUÉBEC"
"Latitude","62,18"
"Longitude","-75,67"
"Altitude","228,00"
"ID climatologique","7117800"
"ID de l'OMM","71641"
"ID de TC","MFX"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2015-01-08 22:00","2015","01","08","22:00","-28,5","","-31,7","","74","","23","","14","","","","95,28","","","","-39","","ND"
"2015-01-08 23:00","2015","01","08","23:00","-28,1","","-31,4","","73","","23","","19","","","","95,30","","","","-40","","ND"
"2015-01-09 00:00","2015","01","09","00:00","-27,8","","-31,1","","73","","22","","12","","","","95,32","","","","-37","","ND"
"2015-01-09 01:00","2015","01","09","01:00","-28,7","","-32,1","","72","","21","","14","","","","95,36","","","","-39","","ND"
"2015-01-09 02:00","2015","01","09","02:00","-28,5","","-31,7","","74","","23","","16","","","","95,42","","","","-40","","ND"
"2015-01-09 03:00","2015","01","09","03:00","-28,9","","-32,3","","73","","20","","22","","","","95,44","","","","-42","","ND"
"2015-01-09 04:00","2015","01","09","04:00","-29,0","","-32,3","","73","","20","","18","","","","95,46","","","","-41","","ND"
"2015-01-09 05:00","2015","01","09","05:00","-29,3","","-32,7","","72","","22","","14","","","","95,47","","","","-40","","ND"
"2015-01-09 06:00","2015","01","09","06:00","-28,9","","-32,3","","73","","21","","13","","","","95,48","","","","-39","","ND"
"2015-01-09 07:00","2015","01","09","07:00","-28,6","","-32,0","","72","","19","","15","","","","95,53","","","","-40","","ND"
"2015-01-09 08:00","2015","01","09","08:00","-28,6","","-31,9","","73","","20","","18","","","","95,61","","","","-41","","ND"
"2015-01-09 09:00","2015","01","09","09:00","-29,0","","-32,5","","72","","20","","16","","","","95,64","","","","-41","","ND"
"2015-01-09 10:00","2015","01","09","10:00","-28,6","","-32,1","","72","","20","","19","","","","95,67","","","","-41","","ND"
